,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41
E3.45.3380,0.5389564934755776,0.8286177740480597,0.6300854895585571,0.3250574747625742,0.1890914790779062,0.4442089838817981,0.2521963074785075,0.4759261007585042,0.27212064622944426,0.36523842014744834,0.5834637384944177,0.2681290880012736,0.8614742531498141,0.4429211722176257,0.5938556396949842,0.6421057305021052,0.9992331305032311,0.3811326869804283,0.6635810254896484,0.07391054428560595,0.5670614027208434,0.5380755741370906,0.34947869503350315,0.4517207519275274,0.3980990197835596,0.9065595782062453,0.5190216595368764,0.7355745774708985,0.9397290440349437,0.7619237538348369,0.7169869351847875,0.3077832526908396,0.4600502406393557,0.41786048979525336,0.42443323982121706,0.6754534268420664,0.43371405932113627,0.15442994033176918,0.16398424487983373,0.24675371098314502
E3.45.3381,0.5656758162236417,0.7627461581134583,0.6622630891093275,0.3541779197482773,0.23145799690946028,0.4833201842200007,0.16663318942869637,0.5149554130386036,0.4836949721895193,0.3953308747264267,0.17995069489827836,0.16539883391204763,0.9802870015695053,0.24939786502986555,0.8283660606829879,0.5821073752444519,0.967986219862345,0.3217804152421628,0.6387708427167463,0.053931448032501064,0.5284290545451388,0.4467057371016964,0.3491475374502994,0.3229613012766978,0.3721885541714184,1.0448711089634408,0.6095046102955944,0.758092074141254,1.0194475430302434,0.7790663184526843,0.2985498588236269,0.3000927622897484,0.3511424782053636,0.632348480191202,0.682382704544332,0.43972626585147756,0.3861047213101926,0.34645080861233823,0.3846433137873435,0.35991146748588815
E3.46.3382,0.8931612743947135,0.8604992310052275,0.6543990277392987,0.32211796090182215,0.27074282724289944,0.5481879141384793,0.12679610029372504,0.2177149040278286,0.5793021024589804,0.3628972589499775,0.7269632767744374,0.20217785663028984,0.817290582962259,0.5099974499865021,0.8778674637141608,0.5520528295879835,0.8932987125567337,0.34157819724564,0.5632566094486846,0.05540990517803768,0.5286375331893945,0.44738563072524984,0.1142281027505894,0.33331718659152115,0.3946185778337176,0.9733709205991397,0.6555428988658849,0.7356038148834929,0.7993963997456683,0.7614149986552354,0.3407007690163259,0.3308478006151699,0.6303275428468569,0.15929706022799323,0.6150196052592158,0.6137827565542034,0.17462784739948836,0.3236094496463354,0.3556968376554943,0.33686243605602095
E3.46.3383,0.8776587112266185,0.8474367584859479,0.6139443319449449,0.3193069582403145,0.34585585421786813,0.2371742621752091,0.1553822857966496,0.13587321238111838,0.5387702047133671,0.43243169547210997,0.5320903688675774,0.1808415955707799,0.8960760282342164,0.4534792135005108,0.6496460593839957,0.5360442529024915,0.60989593721843,0.34162261974485914,0.49527979542526324,0.09467031088869998,0.4193793633573398,0.29757247507505985,0.34829170850047053,0.41611594386984585,0.23427282206665323,0.8926156752879402,0.6705040283443635,0.47692361830295976,0.9958752459694731,0.7601830495362019,0.7421119216682559,0.327404773530267,0.49300402632207063,0.6960301622263632,0.6769162885563479,0.25955317011206214,0.732353463343716,0.3463278825941204,0.7657519526366419,0.15533279640393585
E3.46.3385,0.6920795512066736,0.8092284619853649,0.7223480309368847,0.38378954299013307,0.38917279356281603,0.23511395648287753,0.17696915044929937,0.1946475404081666,0.3327885585518148,0.5867245514266202,0.22783658091222714,0.2481771926385467,0.856465976818378,0.16048045574559358,0.9211439481246848,0.5626268684000983,1.0488156755618836,0.2671834918311821,0.6779936444591661,0.020933082816220305,0.5155799769916684,0.29398413248286265,0.43966344019759857,0.4546143297198507,0.25734391877409085,1.035867675461751,0.8328812591314285,0.9235896355755129,1.009787544577341,0.8614032034066069,0.6028802474411241,0.35461522004066065,0.59324767855664,0.18058039621189412,0.16940393537165396,0.4139290008122095,0.659734261439418,0.0501703203394613,0.15366821700852298,0.6825380533896649
E3.46.3386,0.7373054280901264,0.8932839280878134,0.6879276502152208,0.3595070947401011,0.429565679222789,0.4967349331829094,0.18826016357433115,0.5203732777133371,0.6734390147792111,0.49137444975094774,0.38611800205206365,0.18256418301321709,0.810485478430266,0.3248627317679171,0.6412096945125025,0.46724206117152,0.9112732058952616,0.15703883730698232,0.16793568460819053,0.019712264511244054,0.61866367925365,0.6014488480573138,0.4000831903059887,0.37487456435707156,0.39270532181782714,0.8159414804901143,0.6120588733344521,0.6747552982895821,1.0207600567391015,0.796707402168791,0.6630973170757258,0.32119976435945563,0.4212503320019656,0.2807556598176684,0.3494744669652337,0.49282464757314753,0.4526081661111033,0.3070197079522404,0.6162218425488819,0.2413357515530513
E3.46.3387,0.9810340916293546,0.9762526812436353,0.7061365829038844,0.34063906544695854,0.37060204661134494,0.39675416357584853,0.16026758718015488,0.18834713359815575,0.07347618458228139,0.4026083894082134,0.5261375010352063,0.3038146204846915,0.9135630581974024,0.5125860355595008,0.6811047837582556,0.5687426796188564,1.0975300234621674,0.4070121980895739,0.6660097102402184,0.04104033391770651,0.18342953844754892,0.5116803694851619,0.39520034660872355,0.3223019504829049,0.42230119271373895,0.9444990673573331,0.7990240888470169,0.34744915849141805,1.10228357866189,0.8411019223810562,0.2022156760408022,0.347596934003787,0.21381874536501475,0.4017374279109911,0.5156864499555542,0.7039470139562467,0.38127213320523945,0.3538481397601423,0.2636771804260194,0.4332711417834018
E3.46.3388,0.6354533285470909,0.7336428915327741,0.6995923044483038,0.3432907612457524,0.18243714764743507,0.4392216545119192,0.04402665013970858,0.6674653490042257,0.34168614404069886,0.37107815740338024,0.9897122048569207,0.2195577908237255,1.0046832052046315,0.3893679856368061,0.729494909145747,0.5762592667755423,1.0470466806754366,0.349492244148999,0.0725386467028945,0.05201913053339237,0.10513354573256592,0.5995799279834145,0.11611136003667077,0.410325271413624,0.40257604165297217,0.9114176903411892,0.6510668796513417,0.839855932911894,1.021569277962418,0.7950600955896465,0.5409190302262711,0.14122129441061892,0.522973981990029,0.49013090861998987,0.6911965642550735,0.08431546743192467,0.23080009896569187,0.35948460397236964,0.7955049041886284,0.4026889905846437
E3.47.3389,0.619268869253244,0.8977786057479227,0.7106082344135242,0.3475978743514083,0.22286852094741727,0.5002830972222319,0.2578261839243499,0.4083351513330874,0.14111624160417086,0.46590526545612215,0.319775428366592,0.24903295203623294,1.016018923685107,0.37700528689258617,0.8739907465449539,0.6133540926558886,1.130893582614281,0.35885578672017354,0.3931872716424219,0.07651705906145977,0.3607528003246406,0.6435949138927641,0.13945536333501043,0.31531783864140267,0.42988039890930374,0.8322421424254928,0.6380935307806248,0.800952279156899,1.077847811914302,0.8133333026962646,0.26066112565411653,0.3448376318761355,0.2665507921540859,0.8032965935289532,0.3739473656813087,0.5261287113831712,0.21647928813940306,0.36538513432024033,0.3613287086245014,0.4496938872944888
E3.47.3390,0.9523072169485314,0.7171124010658421,0.6188548552315155,0.28684385682173286,0.2946119921617605,0.5788408269106565,0.19544552167572762,0.5723274419637548,0.4354186997831801,0.46631346158226256,0.2909576566396016,0.2749479990202195,0.7609847532243955,0.4095127173321419,0.5471466657267572,0.7879656893644191,0.7083326207621501,0.38761322763543804,0.08589375166202232,0.06793087630293188,0.2539134097580158,0.24047562523684254,0.3825466569808132,0.3798831281066757,0.45251151233901976,0.8003886734621214,0.7335923620603063,0.6445074583694039,0.9035855051378033,0.8167867335021619,0.750516757579936,0.1623787939981713,0.6910394594671472,0.45108142559080194,0.19988658514818702,0.7023330608175335,0.5420525880414883,0.3291808213485707,0.7414064826797021,0.38257094683657733
E3.47.3391,0.9456577498256118,0.7619790667156747,0.6830834655187488,0.33182908843956066,0.36678867126268083,0.5053556533790388,0.41297588333715934,0.5709790125957247,0.14115669503722345,0.5162037983934229,0.13947198215840545,0.2823933421615006,0.9921791646005282,0.3620448785358351,0.8798964147924226,0.8205064278382238,0.9553053588188647,0.3720951792408467,0.08312430166996113,0.011907019923912066,0.5955498967582168,0.08311625631573097,0.41407930153795636,0.4355780179237134,0.41114212568004693,1.1345777317977164,0.7554039570439031,0.6603376385437563,1.0366484071285755,0.8257234868904344,0.4961281433451766,0.33184101190489235,0.1052419849745227,0.6401322727839593,0.0594196766143181,0.39588837125230886,0.3248553335239003,0.2883434803145851,0.5226813497687955,0.34837740269818085
E3.47.3392,0.689819729797442,0.93650998555886,0.6351789239250443,0.11441615134302496,0.5212027351077874,0.5405109486474596,0.12338634344295667,0.14754506567892361,0.6167366460864454,0.4370014666343546,0.6885952635055049,0.28900688360831506,0.802538853393844,0.42664073832485405,0.8421629361391348,0.5147200503700636,0.9501143865383034,0.3274901029354335,0.6811673062707149,0.06777424722644113,0.5785338699872846,0.5683331124281856,0.34635270641893745,0.5004384546589702,0.37552632921372403,0.8738245844664629,0.735688790837211,0.755445387777085,0.9539060158016428,0.7524248151842939,0.15221966103870307,0.2986657159860768,0.6433106049985744,0.41914278548482287,0.29392862714556195,0.08789956368861171,0.3094860294896433,0.3377559233551356,0.30666751234791956,0.35792977532634673
E3.47.3393,0.6905608619673518,0.869936131905696,0.6699959654377909,0.35768003808027,0.34135054500139916,0.3171332134559207,0.24122801134015104,0.6016998073606453,0.41932749398941316,0.35239427867938516,0.8841973999471346,0.38127444377068387,1.1759316798973558,0.5085549195075404,0.9145496027893454,0.7800051829470983,0.9793235666996836,0.3413076956362981,0.09020874657644704,0.018796649890277423,0.4618235075027881,0.22593345783438007,0.3789243814570982,0.478121276512947,0.37418800388163026,0.6706123396857099,0.6626867283928014,0.6102294266570275,1.0206235490735818,0.7773630943308163,0.43254395408920265,0.3097084473366978,0.13055205155888153,0.3710423213114119,0.24560394185265588,0.5379011836466723,0.16680355973874392,0.2995784791101138,0.5542984211458757,0.35600545417225543
E3.47.3394,1.0075111195892408,0.977628390490524,0.7276985094439704,0.32044817261532876,0.221995740842809,0.6077391429335017,0.16578162888198833,0.2124833667668025,0.2794373871055859,0.5604028165327188,0.6489240933084615,0.17981354536724906,0.8950230871121803,0.562389176669918,1.0731858126637275,0.5049745102547821,0.9984530723596623,0.16954148645351805,0.07035979706011745,0.02046723275372222,0.22206586300505823,0.1560827860823994,0.43637963786585326,0.512753461928491,0.4756620547677054,1.2358360684196619,0.5414225396391712,0.8150296965993858,1.0561634242487972,0.89401514591427,0.26547636010173187,0.13018020846762285,0.7017780655631757,0.12248930782837733,0.10233302255746471,0.35026619945093346,0.7357610178018901,0.06678688846257068,0.590600592110948,0.3846583906990251
E3.48.3396,0.6481643248302656,0.7169532396747416,0.722943275761175,0.3623452454288589,0.2568238747152958,0.5657537164630178,0.25239581870018973,0.2929960264527381,0.261547825824212,0.38423958828197624,0.3201279469286503,0.2897681462955788,0.8139217662989323,0.6180776256980485,0.7551877784263885,0.701722679291906,1.0482703221764704,0.43637332419200375,0.18030327092109216,0.09451253218668924,0.4475699230394908,0.6737782078206591,0.2802321798429505,0.3138190765406881,0.46079727958170236,1.038641356669544,0.5720672480164138,0.7524619298477423,0.9334783323971536,0.858668459329353,0.3935245079411923,0.35242892114171975,0.3129129820393354,0.45948410451370186,0.7231372099072106,0.25167108959035084,0.3069782242388048,0.31326428301181075,0.399618101153318,0.43303952876276985
E3.48.3397,0.6696234356497791,0.998716020798032,0.6661162971392262,0.18795348103989845,0.5572924458797416,0.513215685896472,0.13721622435514688,0.19972383583106335,0.4522961905685651,0.24833847445770502,0.147116497178023,0.17961110445164663,0.8696264734162982,0.3168683866432353,0.8159262656686895,0.6053934045823545,1.0024504874057403,0.34275278137730786,0.2279924401861741,0.04934427737681134,0.5042434472244466,0.7754798699432338,0.15295484120518388,0.31746237609551525,0.44711116084114655,1.0311665111283288,0.5393033172361223,0.7443176763893571,0.9472047079002002,0.8192728198637778,0.6495869492362368,0.31649169991271603,0.5557675905965356,0.5156578355419827,0.3359979963336397,0.5008397827936678,0.25073384558519113,0.3156656085274781,0.7297678604466953,0.3633988335348568
E3.48.3398,0.6648710915614592,0.7614916156930851,0.628462148957651,0.33064996274051706,0.39936387572636234,0.4716223312991632,0.24165721706942922,0.5551781314868948,0.33104279183647073,0.4790248755732551,0.8086368055009776,0.3499065551221694,0.8810082497260501,0.577465095402088,0.7778495416508616,0.6030650172151039,0.9206726731174266,0.3283480016612322,0.5357684136904967,0.05101566551543437,0.3181688995505646,0.6441191617511444,0.10765968598235291,0.38093667781554424,0.3569187477030278,0.8046659404289597,0.6320595246793927,0.6733614795573255,0.9246967438004059,0.7261510600246065,0.4418647022863592,0.12435553209019361,0.5205389199485682,0.208905421408361,0.5790032160054503,0.4653665026626292,0.5478273463424088,0.32070931599405234,0.1472466609500094,0.3783435942574867
